sku,location,shopify_location_id,inventoryItemId,delta_qty_to_add,po_numbers
806993608007,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716676206902,10,PO-A097
806993608007,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716676206902,3,PO-A091
806993608007,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716676206902,3,PO-A090
806993610659,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716630593846,3,PO-A082
806993610666,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716630626614,3,PO-A093
806993610666,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716630626614,3,PO-A089
806993610666,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716630626614,3,PO-A086
806993610772,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716630004022,3,PO-A095
806993610772,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716630004022,3,PO-A089
806993610789,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716630036790,3,PO-A083
806993610833,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716630135094,3,PO-A095
806993610840,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716630167862,3,PO-A091
806993610840,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716630167862,3,PO-A090
806993610840,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716630167862,3,PO-A088
806993618686,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716718641462,4,PO-A096
806993618686,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716718641462,4,PO-A095
806993618686,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716718641462,4,PO-A094
806993618686,MTL05,gid://shopify/Location/107681481014,gid://shopify/InventoryItem/55716718641462,4,PO-A092
806993618686,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716718641462,4,PO-A090
806993618686,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716718641462,4,PO-A089
806993618686,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716718641462,4,PO-A088
806993618686,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716718641462,4,PO-A087
806993618686,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716718641462,4,PO-A086
806993618693,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716718608694,4,PO-A082
806993618693,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716718608694,4,PO-A094
806993618693,MTL05,gid://shopify/Location/107681481014,gid://shopify/InventoryItem/55716718608694,4,PO-A092
806993618693,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716718608694,4,PO-A091
806993618693,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716718608694,4,PO-A090
806993618693,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716718608694,4,PO-A089
806993618693,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716718608694,4,PO-A088
806993618693,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716718608694,4,PO-A087
806993618693,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716718608694,4,PO-A086
806993618693,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716718608694,4,PO-A085
806993618723,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716718575926,4,PO-A096
806993618723,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716718575926,4,PO-A095
806993618723,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716718575926,4,PO-A094
806993618723,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716718575926,4,PO-A091
806993618723,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716718575926,4,PO-A090
806993618723,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716718575926,4,PO-A089
806993618723,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716718575926,4,PO-A087
806993618723,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716718575926,4,PO-A085
806993618723,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716718575926,4,PO-A083
806993618761,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716718739766,4,PO-A096
806993618761,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716718739766,4,PO-A090
806993618761,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716718739766,4,PO-A089
806993618761,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716718739766,4,PO-A087
806993618761,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716718739766,4,PO-A085
806993618778,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716718706998,4,PO-A082
806993618778,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716718706998,4,PO-A096
806993618778,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716718706998,4,PO-A095
806993618778,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716718706998,4,PO-A093
806993618778,MTL05,gid://shopify/Location/107681481014,gid://shopify/InventoryItem/55716718706998,4,PO-A092
806993618778,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716718706998,4,PO-A091
806993618778,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716718706998,4,PO-A090
806993618778,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716718706998,4,PO-A089
806993618778,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716718706998,4,PO-A088
806993618778,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716718706998,4,PO-A087
806993618778,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716718706998,4,PO-A086
806993618778,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716718706998,4,PO-A085
806993618778,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716718706998,4,PO-A083
806993618808,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716718674230,4,PO-A096
806993618808,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716718674230,4,PO-A095
806993618808,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716718674230,4,PO-A093
806993618808,MTL05,gid://shopify/Location/107681481014,gid://shopify/InventoryItem/55716718674230,4,PO-A092
806993618808,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716718674230,4,PO-A091
806993618808,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716718674230,4,PO-A090
806993618808,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716718674230,4,PO-A089
806993618808,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716718674230,4,PO-A088
806993618808,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716718674230,4,PO-A087
806993618808,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716718674230,4,PO-A085
